numeric_code,iso_code,country,year,human_development_groups,hdi_rank_2021,undp_developing_regions,least_devpd_country,landlock_deving_country,small_island_deving_country,population,gdp,happiness_index,gini_index,income_group,happiness_index_rank_62,co2_per_capita,consumption_co2_per_capita,material_footprint_per_capita,energy_per_capita,renewables_consumption,temperature_change_from_co2,share_global_co2,land_use_change_co2_per_capita,continent,sub_continent_un,hemisphere,latitude,longitude,co2_consumption_production_gap,co2_consumption_production_ratio,happiness_per_co2,happiness_per_consumption_co2,happiness_per_material_footprint,happiness_per_energy,inequality_adjusted_happiness,ineq_adj_happiness_per_co2,ineq_adj_happiness_per_consumption_co2,ineq_adj_happiness_per_material_footprint,ineq_adj_happiness_per_energy,co2_per_energy,material_footprint_per_energy
784,ARE,United Arab Emirates,2013,Very High,26,AS,False,False,False,7831851,606587973942.0,7.144,32.5,High income,11,27.348,33.019,49.68,144520.031,0.222,0.002,0.607,-0.014,Asia,Western Asia,Northern Hemisphere,24.0,54.0,5.670999999999999,1.2073643410852712,0.26122568377943545,0.2163602774160332,0.14380032206119164,4.943259388035974e-05,4.8222000000000005,0.17632733655111893,0.14604318725582244,0.09706521739130436,3.336700086924283e-05,0.00018923328351624834,0.00034375857558458455
784,ARE,United Arab Emirates,2014,Very High,26,AS,False,False,False,8236880,631858461256.0,7.0225,31.28,High income,13,26.045,31.416,55.49,137818.312,0.792,0.002,0.605,-0.011,Asia,Western Asia,Northern Hemisphere,24.0,54.0,5.370999999999999,1.2062200038395086,0.2696294874256095,0.22353259485612426,0.12655433411425482,5.095476717201412e-05,4.825862,0.18528938375887885,0.1536115991851286,0.08696813840331591,3.5016116000608104e-05,0.00018898069220293453,0.0004026315457992259
784,ARE,United Arab Emirates,2015,Very High,26,AS,False,False,False,8674633,674742705535.0,6.901,30.06,High income,17,25.943,30.139,59.76,140994.875,0.761,0.002,0.636,-0.009,Asia,Western Asia,Northern Hemisphere,24.0,54.0,4.195999999999998,1.1617391974713795,0.2660062444590063,0.22897242775141843,0.11547858099062919,4.894504144210915e-05,4.8265594,0.18604476737462897,0.16014331596934206,0.08076571954484606,3.423216198461114e-05,0.00018399959572998665,0.0004238451929547084
784,ARE,United Arab Emirates,2016,Very High,26,AS,False,False,False,9030873,712265114847.0,6.573,28.84,High income,22,25.235,28.68,64.95,140575.797,0.794,0.002,0.644,-0.007,Asia,Western Asia,Northern Hemisphere,24.0,54.0,3.4450000000000003,1.1365167426193779,0.2604715672676838,0.22918410041841006,0.10120092378752887,4.675769328912288e-05,4.6773468000000005,0.1853515672676838,0.1630874058577406,0.07201457736720554,3.327277454453984e-05,0.000179511697877836,0.00046202832483318597
784,ARE,United Arab Emirates,2017,Very High,26,AS,False,False,False,9234330,717500233045.0,6.648,27.619999999999997,High income,18,21.279,25.843,75.61,131237.281,1.863,0.002,0.546,-0.007,Asia,Western Asia,Northern Hemisphere,24.0,54.0,4.564,1.2144837633347432,0.3124206964612999,0.25724567581163177,0.08792487766168496,5.065633750824204e-05,4.8118224,0.22613010009868884,0.18619442015245907,0.06364002645152757,3.666505708846559e-05,0.00016214142687092094,0.000576132021509955
784,ARE,United Arab Emirates,2018,Very High,26,AS,False,False,False,9346870,726928170282.0,6.774,26.4,High income,17,21.837,26.453,65.97,121187.641,2.98,0.002,0.556,-0.0,Asia,Western Asia,Northern Hemisphere,24.0,54.0,4.616,1.211384347666804,0.31020744607775796,0.2560768154840661,0.10268303774442929,5.589678901332851e-05,4.985664,0.22831268031322985,0.18847253619627263,0.07557471577989995,4.1140036713809783e-05,0.00018019164181931719,0.0005443624403910956
784,ARE,United Arab Emirates,2019,Very High,26,AS,False,False,False,9377855,734982504070.0,6.825,26.4,High income,18,21.76,25.242,68.95,129769.297,9.049,0.002,0.55,-0.003,Asia,Western Asia,Northern Hemisphere,24.0,54.0,3.4819999999999993,1.160018382352941,0.31364889705882354,0.2703826955074875,0.09898477157360407,5.2593334153609537e-05,5.0232,0.2308455882352941,0.19900166389351082,0.07285279187817259,3.8708693937056624e-05,0.00016768219064945694,0.0005313275296544144
784,ARE,United Arab Emirates,2020,Very High,26,AS,False,False,False,9448529,698549476819.0,6.791,26.4,High income,18,22.783,23.472,68.95,125363.312,12.804,0.002,0.612,-0.001,Asia,Western Asia,Northern Hemisphere,24.0,54.0,0.6890000000000001,1.0302418469911776,0.29807312469823993,0.28932344921608727,0.09849166062364031,5.417055350292596e-05,4.998176,0.21938181977790455,0.2129420586230402,0.07248986221899927,3.9869527378153504e-05,0.0001817357856659052,0.0005500014230638706
784,ARE,United Arab Emirates,2021,Very High,26,AS,False,False,False,9789055,725904671328.0,6.561,26.4,High income,19,21.675,24.475,68.95,126734.023,15.401,0.002,0.576,-0.002,Asia,Western Asia,Northern Hemisphere,24.0,54.0,2.8000000000000007,1.1291810841983854,0.3026989619377162,0.26806945863125636,0.09515591007976794,5.176983926407828e-05,4.828896,0.2227864359861592,0.1972991215526047,0.0700347498187092,3.8102601698361615e-05,0.0001710274753923025,0.0005440527994601734
32,ARG,Argentina,2013,Very High,47,LAC,False,False,False,42582453,849088398588.0,6.562,41.1,Upper middle income,23,4.451,4.785,16.74,23705.746,101.686,0.008,0.537,2.426,America,Latin America and the Caribbean,Southern Hemisphere,-34.0,-64.0,0.3340000000000005,1.0750393170074142,1.4742754437205123,1.3713688610240335,0.39199522102747913,0.00027681052517815726,3.865018,0.8683482363513818,0.8077362591431557,0.23088518518518522,0.00016304139932993462,0.0001877603851825629,0.000706157907876006
